xup,zup,xlow,zlow
    0,      0,      0,      0
1.270,  0.278,  1.270, -0.278
2.540,  0.555,  2.540, -0.555
5.715,  0.555,  5.715, -0.555
8.890,  0.555,  8.890, -0.555
10.16,  0.278,  10.16, -0.278
11.43,      0,  11.43,      0
