xup,zup,xlow,zlow
    0,      0,      0,      0
1.270,  0.278,  1.270, -0.278
2.540,  0.555,  2.540, -0.555
3.175, 0.555,  3.175, -0.555
3.81,  0.555,  3.81, -0.555
5.08 , 0.278 , 5.08, -0.278
6.35,      0,  6.35,      0
