xup,zup,xlow,zlow
    0,      0,      0,      0
0.635,  0.139,  0.635, -0.139
1.905,  0.417,  1.905, -0.417
2.540,  0.555,  2.540, -0.555
5.715,  0.555,  5.715, -0.555
8.890,  0.555,  8.890, -0.555
9.525,  0.417,  9.525, -0.417
10.795, 0.139,  10.795,-0.139
11.43,      0,  11.43,      0
